state,grade_2022,grade_2024,grade_2026
Alabama,Fail (racial),Pass,B
Alaska,NA,NA,NA
Arizona,A,A,A
Arkansas,C,C,C
California,B,B,B
Colorado,A,A,A
Connecticut,A,A,A
Delaware,NA,NA,NA
Florida,F,F,F
Georgia,F (racial),F (racial),F (racial)
Hawaii,NA,NA,NA
Idaho,A,A,A
Illinois,F,F,F
Indiana,A,A,A
Iowa,B,B,B
Kansas,F,F,F
Kentucky,A,A,A
Louisiana,F (racial),F (racial),C (racial)
Maine,B,B,B
Maryland,A,A,A
Massachusetts,A,A,A
Michigan,A,A,A
Minnesota,A,A,A
Mississippi,C,C,C
Missouri,A,A,F (RACIAL)
Montana,A,A,A
Nebraska,A,A,A
Nevada,F,F,F
New Hampshire,B,B,B
New Jersey,A,A,A
New Mexico,D,D,D
New York,A,A,A
North Carolina,B,F,F
North Dakota,NA,NA,NA
Ohio,D,D,F
Oklahoma,C,C,C
Oregon,D,D,D
Pennsylvania,B,B,B
Rhode Island,NA,NA,NA
South Carolina,F (racial),F (racial),F (racial)
South Dakota,NA,NA,NA
Tennessee,F (racial),F (racial),F
Texas,F,F,F
Utah,F,F,B
Vermont,NA,NA,NA
Virginia,A,A,A
Washington,A,A,A
West Virginia,A,A,A
Wisconsin,F,F,F
Wyoming,NA,NA,NA
