state,grade_2024,grade_2026
Alabama,Fail (racial),B
Alaska,NA,NA
Arizona,A,A
Arkansas,C,C
California,B,B
Colorado,A,A
Connecticut,A,A
Delaware,NA,NA
Florida,F,F
Georgia,C,C
Hawaii,NA,NA
Idaho,A,A
Illinois,F,F
Indiana,A,A
Iowa,B,B
Kansas,F,F
Kentucky,A,A
Louisiana,F (racial),C (racial)
Maine,NA,B
Maryland,A,A
Massachusetts,A,A
Michigan,A,A
Minnesota,A,A
Mississippi,C,C
Missouri,A,F (RACIAL)
Montana,A,A
Nebraska,A,A
Nevada,F,F
New Hampshire,B,B
New Jersey,A,A
New Mexico,D,D
New York,A,A
North Carolina,F,F
North Dakota,NA,NA
Ohio,D,F
Oklahoma,C,C
Oregon,D,D
Pennsylvania,B,B
Rhode Island,NA,NA
South Carolina,F (racial),F (racial)
South Dakota,NA,NA
Tennessee,F (racial),F
Texas,F,F
Utah,NA,B
Vermont,NA,NA
Virginia,A,A
Washington,A,A
West Virginia,NA,A
Wisconsin,F,F
Wyoming,NA,NA
