year,state,state_po,district,candidate,party
2020,Alaska,AK,AK-00,Don Young,Republican
2020,Alabama,AL,AL-01,Jerry Carl,Republican
2020,Alabama,AL,AL-02,Barry Moore,Republican
2020,Alabama,AL,AL-03,Mike Rogers,Republican
2020,Alabama,AL,AL-04,Robert B Aderholt,Republican
2020,Alabama,AL,AL-05,Mo Brooks,Republican
2020,Alabama,AL,AL-06,Gary J Palmer,Republican
2020,Alabama,AL,AL-07,Terri A Sewell,Democrat
2020,Arkansas,AR,AR-01,"Eric A \""Rick\"" Crawford",Republican
2020,Arkansas,AR,AR-02,J French Hill,Republican
2020,Arkansas,AR,AR-03,Steve Womack,Republican
2020,Arkansas,AR,AR-04,Bruce Westerman,Republican
2020,Arizona,AZ,AZ-01,Tom O'halleran,Democrat
2020,Arizona,AZ,AZ-02,Ann Kirkpatrick,Democrat
2020,Arizona,AZ,AZ-03,Raul M Grijalva,Democrat
2020,Arizona,AZ,AZ-04,Paul A Gosar,Republican
2020,Arizona,AZ,AZ-05,Andy Biggs,Republican
2020,Arizona,AZ,AZ-06,David Schweikert,Republican
2020,Arizona,AZ,AZ-07,Ruben Gallego,Democrat
2020,Arizona,AZ,AZ-08,Debbie Lesko,Republican
2020,Arizona,AZ,AZ-09,Greg Stanton,Democrat
2020,California,CA,CA-01,Doug Lamalfa,Republican
2020,California,CA,CA-02,Jared Huffman,Democrat
2020,California,CA,CA-03,John Garamendi,Democrat
2020,California,CA,CA-04,Tom Mcclintock,Republican
2020,California,CA,CA-05,Mike Thompson,Democrat
2020,California,CA,CA-06,Doris O Matsui,Democrat
2020,California,CA,CA-07,Ami Bera,Democrat
2020,California,CA,CA-08,Jay Obernolte,Republican
2020,California,CA,CA-09,Jerry Mcnerney,Democrat
2020,California,CA,CA-10,Josh Harder,Democrat
2020,California,CA,CA-11,Mark Desaulnier,Democrat
2020,California,CA,CA-12,Nancy Pelosi,Democrat
2020,California,CA,CA-13,Barbara Lee,Democrat
2020,California,CA,CA-14,Jackie Speier,Democrat
2020,California,CA,CA-15,Eric Swalwell,Democrat
2020,California,CA,CA-16,Jim Costa,Democrat
2020,California,CA,CA-17,Ro Khanna,Democrat
2020,California,CA,CA-18,Anna G Eshoo,Democrat
2020,California,CA,CA-19,Zoe Lofgren,Democrat
2020,California,CA,CA-20,Jimmy Panetta,Democrat
2020,California,CA,CA-21,David G Valadao,Republican
2020,California,CA,CA-22,Devin Nunes,Republican
2020,California,CA,CA-23,Kevin Mccarthy,Republican
2020,California,CA,CA-24,Salud O Carbajal,Democrat
2020,California,CA,CA-25,Mike Garcia,Republican
2020,California,CA,CA-26,Julia Brownley,Democrat
2020,California,CA,CA-27,Judy Chu,Democrat
2020,California,CA,CA-28,Adam B Schiff,Democrat
2020,California,CA,CA-29,Tony Cardenas,Democrat
2020,California,CA,CA-30,Brad Sherman,Democrat
2020,California,CA,CA-31,Pete Aguilar,Democrat
2020,California,CA,CA-32,Grace F Napolitano,Democrat
2020,California,CA,CA-33,Ted Lieu,Democrat
2020,California,CA,CA-34,Jimmy Gomez,Democrat
2020,California,CA,CA-35,Norma J Torres,Democrat
2020,California,CA,CA-36,Raul Ruiz,Democrat
2020,California,CA,CA-37,Karen Bass,Democrat
2020,California,CA,CA-38,Linda T Sanchez,Democrat
2020,California,CA,CA-39,Young Kim,Republican
2020,California,CA,CA-40,Lucille Roybal-Allard,Democrat
2020,California,CA,CA-41,Mark Takano,Democrat
2020,California,CA,CA-42,Ken Calvert,Republican
2020,California,CA,CA-43,Maxine Waters,Democrat
2020,California,CA,CA-44,Nanette Diaz Barragan,Democrat
2020,California,CA,CA-45,Katie Porter,Democrat
2020,California,CA,CA-46,J Luis Correa,Democrat
2020,California,CA,CA-47,Alan S Lowenthal,Democrat
2020,California,CA,CA-48,Michelle Steel,Republican
2020,California,CA,CA-49,Mike Levin,Democrat
2020,California,CA,CA-50,Darrell Issa,Republican
2020,California,CA,CA-51,Juan Vargas,Democrat
2020,California,CA,CA-52,Scott H Peters,Democrat
2020,California,CA,CA-53,Sara Jacobs,Democrat
2020,Colorado,CO,CO-01,Diana Degette,Democrat
2020,Colorado,CO,CO-02,Joe Neguse,Democrat
2020,Colorado,CO,CO-03,Lauren Boebert,Republican
2020,Colorado,CO,CO-04,Ken Buck,Republican
2020,Colorado,CO,CO-05,Doug Lamborn,Republican
2020,Colorado,CO,CO-06,Jason Crow,Democrat
2020,Colorado,CO,CO-07,Ed Perlmutter,Democrat
2020,Connecticut,CT,CT-01,John B Larson,Democrat
2020,Connecticut,CT,CT-02,Joe Courtney,Democrat
2020,Connecticut,CT,CT-03,Rosa L Delauro,Democrat
2020,Connecticut,CT,CT-04,James A Himes,Democrat
2020,Connecticut,CT,CT-05,Jahana Hayes,Democrat
2020,Delaware,DE,DE-00,Lisa Blunt Rochester,Democrat
2020,Florida,FL,FL-01,Matt Gaetz,Republican
2020,Florida,FL,FL-02,Neal P Dunn,Republican
2020,Florida,FL,FL-03,Kat Cammack,Republican
2020,Florida,FL,FL-04,John H Rutherford,Republican
2020,Florida,FL,FL-05,Al Lawson Jr,Democrat
2020,Florida,FL,FL-06,Michael Waltz,Republican
