state_abb,district,harris_24,trump_24
AK,AK-00,41.41,54.54
AL,AL-01,21.89,76.94
AL,AL-02,53.52,45.31
AL,AL-03,26.18,72.71
AL,AL-04,15.96,83.02
AL,AL-05,34.2,64.02
AL,AL-06,29.68,68.47
AL,AL-07,61.45,37.5
AR,AR-01,26.37,71.71
AR,AR-02,40.99,56.6
AR,AR-03,36.18,61.09
AR,AR-04,29.11,69.05
AZ,AZ-01,47.77,50.87
AZ,AZ-02,41.96,56.91
AZ,AZ-03,68.9,29.31
AZ,AZ-04,52.39,45.75
AZ,AZ-05,39.32,59.22
AZ,AZ-06,48.9,49.65
AZ,AZ-07,60.31,38.24
AZ,AZ-08,41.23,57.5
AZ,AZ-09,33.96,64.95
CA,CA-01,36.12,61.07
CA,CA-02,70.88,25.72
CA,CA-03,46.52,50.33
CA,CA-04,64.04,32.82
CA,CA-05,39.86,57.58
CA,CA-06,55.23,41.36
CA,CA-07,63.1,33.35
CA,CA-08,70.15,26.58
CA,CA-09,47.6,49.38
CA,CA-10,65.21,31.43
CA,CA-11,81.8,14.08
CA,CA-12,84.54,10.64
CA,CA-13,45.9,51.32
CA,CA-14,65.78,30.35
CA,CA-15,72.19,24.3
CA,CA-16,72.47,23.95
CA,CA-17,66.75,28.85
CA,CA-18,63.19,33.68
CA,CA-19,65.44,31.05
CA,CA-20,33.69,64.01
CA,CA-21,50.57,46.79
CA,CA-22,45.77,51.6
CA,CA-23,40.24,57.09
CA,CA-24,60.96,35.92
CA,CA-25,50.07,47.59
CA,CA-26,55.17,42.01
CA,CA-27,50.47,46.58
CA,CA-28,61.8,34.87
CA,CA-29,65.83,31.03
CA,CA-30,68.81,27.75
CA,CA-31,56.95,40.04
CA,CA-32,64.21,32.86
CA,CA-33,52.92,44.18
CA,CA-34,73.06,22.42
CA,CA-35,53.67,43.39
CA,CA-36,67.92,28.81
CA,CA-37,78.66,18.27
CA,CA-38,56.48,40.4
CA,CA-39,53.31,43.62
CA,CA-40,47.18,49.5
CA,CA-41,45.73,51.66
CA,CA-42,64.48,32.05
CA,CA-43,72.88,23.91
CA,CA-44,65.33,31.51
CA,CA-45,49.29,47.76
CA,CA-46,57.32,39.6
CA,CA-47,50.33,46.16
CA,CA-48,41.11,56.42
CA,CA-49,52.47,44.71
CA,CA-50,63.1,33.54
CA,CA-51,60.21,36.71
CA,CA-52,59.27,38.08
CO,CO-01,76.52,20.58
CO,CO-02,68.48,28.71
CO,CO-03,43.89,53.62
CO,CO-04,39.64,57.89
CO,CO-05,44.08,53.16
CO,CO-06,58.45,38.67
CO,CO-07,56.1,41.11
CO,CO-08,47.73,49.56
CT,CT-01,60.59,37.71
CT,CT-02,53.01,45.29
CT,CT-03,56.05,41.99
CT,CT-04,60.89,37.53
CT,CT-05,51.99,46.41
DE,DE-00,56.63,41.89
FL,FL-01,30.88,68.1
FL,FL-02,40.48,58.55
FL,FL-03,38.93,60.04
FL,FL-04,43.49,55.32
FL,FL-05,38.52,59.85
FL,FL-06,34.5,64.52
FL,FL-07,43.11,55.62
FL,FL-08,38.35,60.72
FL,FL-09,51.17,47.65
FL,FL-10,60.43,37.82
FL,FL-11,41.34,57.58
FL,FL-12,32.24,66.77
FL,FL-13,43.41,55.22
FL,FL-14,53.01,45.38
FL,FL-15,43.52,54.68
FL,FL-16,41.71,57.23
FL,FL-17,37.68,61.6
FL,FL-18,34.9,64.33
FL,FL-19,34.92,63.97
FL,FL-20,69.26,29.57
FL,FL-21,41.19,57.69
FL,FL-22,52.17,46.62
FL,FL-23,50.31,48.43
FL,FL-24,64.38,34.43
FL,FL-25,51.98,46.69
FL,FL-26,32.11,66.99
FL,FL-27,42.12,56.73
FL,FL-28,36.86,62.22
GA,GA-01,41.96,57.62
GA,GA-02,53.64,46.15
GA,GA-03,34.27,65.23
GA,GA-04,75.57,23.37
GA,GA-05,85.56,13.47
GA,GA-06,74.62,24.63
GA,GA-07,38.86,59.96
GA,GA-08,34.23,65.54
GA,GA-09,32.22,67.14
GA,GA-10,38.81,60.66
GA,GA-11,37.68,61.4
GA,GA-12,42.8,56.86
GA,GA-13,70.72,28.34
GA,GA-14,31.05,68.41
HI,HI-01,61.5,36.77
HI,HI-02,59.74,38.14
IA,IA-01,45.04,53.5
IA,IA-02,44.32,54.31
IA,IA-03,47.15,51.55
IA,IA-04,33.6,65.08
ID,ID-01,26.24,71.3
ID,ID-02,35.12,61.84
IL,IL-01,65.37,33.36
IL,IL-02,65.88,32.75
IL,IL-03,64.72,33.53
IL,IL-04,63.31,35.01
IL,IL-05,68.01,30.79
IL,IL-06,51.65,46.16
IL,IL-07,82.18,16.69
IL,IL-08,52.83,45.87
IL,IL-09,67.7,31.18
IL,IL-10,60.34,38.32
IL,IL-11,54.97,43.57
IL,IL-12,27.51,70.99
IL,IL-13,54.5,43.85
IL,IL-14,51.75,46.56
IL,IL-15,29.26,69.17
IL,IL-16,37.79,60.53
IL,IL-17,51.45,46.64
IN,IN-01,49.63,49.29
IN,IN-02,35.9,62.34
IN,IN-03,34.14,65.75
IN,IN-04,35.1,64.84
IN,IN-05,40.47,57.2
IN,IN-06,33.45,66.55
IN,IN-07,69.75,28.38
IN,IN-08,31.76,68.26
IN,IN-09,34.81,65.19
KS,KS-01,33.45,64.72
KS,KS-02,39.21,58.89
KS,KS-03,51.16,47.06
KS,KS-04,37.5,60.79
KY,KY-01,25.71,72.99
KY,KY-02,28.61,69.92
KY,KY-03,58.53,39.62
KY,KY-04,31.37,66.91
KY,KY-05,17.45,81.32
KY,KY-06,41.52,56.54
LA,LA-01,29.99,68.16
LA,LA-02,64.7,33.35
LA,LA-03,26.82,71.84
LA,LA-04,23.23,75.56
LA,LA-05,31.06,67.44
LA,LA-06,56.64,41.8
MA,MA-01,55.63,41.86
MA,MA-02,60.26,36.71
MA,MA-03,58.1,39.27
MA,MA-04,58.44,38.86
MA,MA-05,70.85,25.97
MA,MA-06,59.04,38.47
MA,MA-07,79.46,16.73
MA,MA-08,61.72,35.49
MA,MA-09,54.29,43.58
MD,MD-01,40.17,56.99
MD,MD-02,57.48,39.17
MD,MD-03,59.84,36.3
MD,MD-04,85,11.77
MD,MD-05,65.11,32.03
MD,MD-06,51.25,45.51
MD,MD-07,77.68,19.12
MD,MD-08,76.01,20.17
ME,ME-01,59.78,37.97
ME,ME-02,44.22,53.75
MI,MI-01,38.65,59.89
MI,MI-02,34.3,64.18
MI,MI-03,52.96,45.12
MI,MI-04,46.25,51.92
MI,MI-05,35.63,62.71
MI,MI-06,60.12,36.93
MI,MI-07,48.53,49.82
MI,MI-08,48.21,50.2
MI,MI-09,33.17,65.5
MI,MI-10,45.69,52.24
MI,MI-11,57.06,40.96
MI,MI-12,66.57,28.88
MI,MI-13,69.42,28.04
MN,MN-01,43.06,55.06
MN,MN-02,51.92,46.09
MN,MN-03,59.57,38.31
MN,MN-04,66.75,31.07
MN,MN-05,79.61,17.75
MN,MN-06,39.18,58.85
MN,MN-07,30.93,67.41
MN,MN-08,42.03,56.32
MO,MO-01,77.65,20.53
MO,MO-02,45.19,53.1
MO,MO-03,35.88,62.66
MO,MO-04,28.21,70.51
MO,MO-05,60.69,37.53
MO,MO-06,29.97,68.83
MO,MO-07,28.09,70.68
MO,MO-08,22.52,76.5
MS,MS-01,30.82,67.85
MS,MS-02,59.68,39.29
MS,MS-03,34.49,63.68
MS,MS-04,28.19,70.72
MT,MT-01,42.67,54.21
MT,MT-02,33.64,63.18
NC,NC-01,47.97,51.06
NC,NC-02,66.21,31.92
NC,NC-03,38.52,60.33
NC,NC-04,71.81,26.53
NC,NC-05,40.4,58.22
NC,NC-06,41.1,58.11
NC,NC-07,42.52,56.31
NC,NC-08,39.58,59.14
NC,NC-09,41.71,57.5
NC,NC-10,40.51,58.18
NC,NC-11,44.5,53.96
NC,NC-12,72.22,25.99
NC,NC-13,41.11,57.97
NC,NC-14,41.94,57.06
ND,ND-00,30.77,67.52
NE,NE-01,42.77,55.82
NE,NE-02,51.64,47.02
NE,NE-03,22.52,76.32
NH,NH-01,50.27,48.28
NH,NH-02,51.04,47.46
NJ,NJ-01,58.61,39.88
NJ,NJ-02,43,55.56
NJ,NJ-03,53.36,45
NJ,NJ-04,34.26,64.37
NJ,NJ-05,49.8,48.29
NJ,NJ-06,51.95,45.53
NJ,NJ-07,48.45,49.63
NJ,NJ-08,60.83,36.65
NJ,NJ-09,48.02,49.16
NJ,NJ-10,74.52,23.75
NJ,NJ-11,53.34,44.62
NJ,NJ-12,60.57,36.7
NM,NM-01,56.1,43.16
NM,NM-02,48.33,50.25
NM,NM-03,51.67,46.83
NV,NV-01,50.24,47.98
NV,NV-02,41.84,55.82
NV,NV-03,48.8,49.54
NV,NV-04,50.47,47.65
NY,NY-01,44.26,54.3
NY,NY-02,42.77,56.79
NY,NY-03,46.66,51.92
NY,NY-04,49.79,49.03
NY,NY-05,70.13,28.36
NY,NY-06,52.3,45.89
NY,NY-07,71.55,25.69
NY,NY-08,71.28,27.1
NY,NY-09,69.17,28.75
NY,NY-10,79.13,18.52
NY,NY-11,36.9,61.27
NY,NY-12,80.8,17.2
NY,NY-13,78.74,19.61
NY,NY-14,64.89,33.21
NY,NY-15,73.57,25.3
NY,NY-16,66.25,33.14
NY,NY-17,49.91,49.35
NY,NY-18,50.7,48.33
NY,NY-19,49.78,49.05
NY,NY-20,56.48,42.32
NY,NY-21,NA,NA
NY,NY-22,53.54,45.89
NY,NY-23,39.08,60.1
NY,NY-24,38.13,61.25
NY,NY-25,59.33,40.67
NY,NY-26,58.79,39.72
OH,OH-01,52.68,46.34
OH,OH-02,25.83,73.41
OH,OH-03,69.61,29.37
OH,OH-04,31.18,67.94
OH,OH-05,34.91,64.17
OH,OH-06,32.78,66.44
OH,OH-07,44.26,54.9
OH,OH-08,37.71,61.4
OH,OH-09,46.18,52.89
OH,OH-10,46.64,52.37
OH,OH-11,77.18,22.11
OH,OH-12,33.21,65.94
OH,OH-13,49.57,49.52
OH,OH-14,40.61,58.54
OH,OH-15,44.9,54.1
OK,OK-01,38.18,59.71
OK,OK-02,21.4,77.02
OK,OK-03,26.66,71.51
OK,OK-04,32.58,65.51
OK,OK-05,39.76,57.99
OR,OR-01,66.76,29.16
OR,OR-02,34.9,61.96
OR,OR-03,70.73,25.12
OR,OR-04,54.14,42.16
OR,OR-05,52.46,43.83
OR,OR-06,53.75,42.45
PA,PA-01,49.67,49.35
PA,PA-02,67.28,31.54
PA,PA-03,88.06,10.74
PA,PA-04,57.38,41.58
PA,PA-05,63.79,35.15
PA,PA-06,55.19,43.79
PA,PA-07,47.86,51.07
PA,PA-08,45.35,53.85
PA,PA-09,30.59,68.51
PA,PA-10,46.82,52.03
PA,PA-11,38.83,60.19
PA,PA-12,59.13,39.95
PA,PA-13,26.83,72.37
PA,PA-14,32.97,66.32
PA,PA-15,30.58,68.58
PA,PA-16,38.2,60.96
PA,PA-17,52.28,46.77
