country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,1.7536534374,1.9696347923,4.627766602,2.6153846038,0.2248875584,0.8601346346,1.4831294103,4.4574351348,4.4071353648,2.9815745459,2.7325959551,2.3432552356,2.6918316825,3.5552877312,2.3276113004,4.3502985345,1.7711171809,2.9183400266,3.3038501455,1.7627801685,2.4498886294,2.487922704,1.5083667183,1.2769909597,1.948647404,1.9114009392,1.610767878,0.8469055394,2.8639104146,6.5940967114,5.5970149291,3.1665697776,2.8740382263
Austria,3.6317855465,2.9534065289,2.2433637488,1.860974107,1.3059832951,0.9224668813,0.5689865193,2.3448683907,2.6499999956,1.8103588369,1.3555537732,2.0612068345,2.2991377165,1.4415465492,2.1685559393,3.2159511124,0.5063093955,1.8135317422,3.2865830452,2.4856750927,2.0001574941,1.6058055952,0.8965652921,0.8915923665,2.0812685847,1.9983818785,1.5308955308,1.3819095474,2.76666667,8.5468699284,7.814134173,2.9379157399,3.5271944023
Belgium,2.7544257768,2.3775445367,1.4679611608,2.0770246211,1.6281604976,0.9492502892,1.1208482303,2.5445177641,2.4692582296,1.6452143675,1.5889640097,2.0972831076,2.7814326261,1.7912077104,1.823056292,4.489444212,-0.0531456779,2.1892992076,3.532082109,2.8396634227,1.1130959464,0.3400028379,0.5614291493,1.97385265,2.1259708579,2.0531649982,1.4368195682,0.7407918066,2.4402485145,9.5975117327,4.0490107715,3.1434913717,2.467055434
Canada,1.8650793635,0.1655629118,2.1487603328,1.5705311144,1.6212163947,0.9959424555,1.7348429485,2.7194399576,2.5251201342,2.2583944158000002,2.7585632135,1.8572587167,2.2135520283,2.0020254048,2.1383839859,2.3702706805,0.2994668025,1.7768715385,2.9121350901,1.5156782287,0.9382919012,1.9066359059,1.1252413621,1.42875954,1.5968841356,2.2682256733,1.9492690166,0.7169996331,3.3951931847,6.8028011566,3.8790016013,2.381583829,2.0723241106
Chile,12.7277614055,11.4431243539,8.2326335419,7.3591146775,6.1338665063,5.1102441301,3.336882867,3.8432734644,3.5691011421,2.4893983313,2.8101772518,1.0547393457,3.0525739368,3.392018988,4.407797903,8.7162685517,0.3530467315,1.4107106461,3.3412169424,3.0074483937,1.789555544,4.7186752746,4.3487735323,3.7861935591,2.1827184723,2.4348898135,2.557544757,3.0454908513,4.5245683824,11.6438667047,7.5816825143,NA,NA
Colombia,22.4424814626,22.8462377018,20.8918023956,20.7975599032,18.4700271251,18.6769813462,10.8736863142,9.2253468469,7.9655617281,6.3515077612,7.129787975,5.9040219653,5.0510161066,4.2934259111,5.5443849044,6.9968825767,4.2025182705,2.2720026121,3.4150319052,3.1693026015,2.0169930817,2.8988381183,4.989829063,7.5134605958,4.3143131653,3.240569559,3.5230199479,2.5266199311,3.4950724944,10.1772388433,11.7358951609,6.6090914943,5.1422367667
Costa Rica,9.7786007505,13.5344687313,23.1864981424,17.5114525026,13.2480440767,11.6592997565,10.0452817292,10.9615496594,11.2556156975,9.1675204965,9.4475809258,12.3148150168,13.798294902,11.4705968218,9.3572445574,13.4244635564,7.8427016766,5.6627570747,4.8779983143,4.4954531435,5.2313361417,4.5192009814,0.8019820087,-0.0174788506,1.6259069263,2.2211146189,2.0960463533,0.7249114815,1.7264775443,NA,NA,NA,NA
Czechia,20.8130261137,10.0394242393,8.9905305517,8.7587747293,8.5961566794,10.6983655269,2.1354484392,3.7753882867,4.6626755701,1.9029809747,0.1187392098,2.7601078123,1.8570978911,2.5339925834,2.8531243761,6.3586638013,1.0193773533,1.4727272727,1.9172191327,3.2876230696,1.4382978689,0.343988593,0.3093645451,0.6835042061,2.450533988,2.1494949527,2.8478759591,3.1612952849,3.8398449089,15.1001651473,10.66126014,2.4353120244,2.4599636784
Denmark,1.2578616323,1.9920142014,2.0836052,2.12629965,2.1821671345,1.8456512897,2.4977948936,2.903277081,2.3378748392,2.4244366165,2.0750782022,1.1543569353,1.8178145828,1.9242213766,1.6932658623,3.4162679427,1.3047099103,2.3109243771,2.7586822604,2.3979148566,0.7890717801,0.5640205371,0.4520341537,0.25,1.1471321696,0.8136094675,0.7581315725,0.4207119709,1.8530454432,7.6965669957,3.3051781125,1.3722005034,1.893673727
Estonia,NA,NA,NA,NA,NA,8.7447506149,3.2961108941,4.0184895315,5.7482798108,3.5719127039,1.3349911614,3.0481110698,4.0797142384,4.4376204238,6.6013260233,10.362358033,-0.0784083032,2.9720451211,4.9819013048,3.9333998771,2.7805665912,-0.1061751461,-0.4923260087,0.14868491,3.4172354965,3.4363268817,2.277259312,-0.4445310985,4.6531667362,19.3982622941,9.1592261055,3.5205605291,4.8280443864
