department,academic_plan,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Biology,BS,151,151,147,146,141,159,147,152,152,162,172,165,152,152,141
Biology,BS2,13,13,11,11,5,11,4,7,6,8,15,11,14,6,19
Biology,BA,10,5,11,11,6,6,8,4,4,3,4,7,2,6,7
Biology,BA2,1,4,2,1,8,1,3,NA,1,2,1,NA,1,2,NA
Biology,Minor,54,59,51,65,70,68,50,54,73,77,81,80,87,61,81
Computer Science,BS,238,209,247,213,190,187,170,118,116,83,71,51,38,18,12
Computer Science,BS2,150,125,105,76,43,38,33,22,20,16,15,3,6,4,4
Computer Science,BA,24,29,27,36,20,32,45,46,31,27,21,15,12,10,14
Computer Science,BA2,44,30,43,34,27,32,21,24,23,28,19,18,14,15,12
Computer Science,Minor,53,78,72,75,62,58,57,65,61,43,40,31,17,10,4
Evolutionary Anthropology,BS,13,18,9,16,14,17,21,20,28,35,42,43,26,16,17
Evolutionary Anthropology,BS2,6,4,4,2,2,7,2,5,2,7,3,6,4,3,4
Evolutionary Anthropology,BA,1,1,7,5,6,8,7,7,9,4,12,7,11,3,7
Evolutionary Anthropology,BA2,1,2,NA,NA,1,2,NA,1,1,1,NA,2,1,NA,1
Evolutionary Anthropology,Minor,3,3,5,7,3,5,2,10,3,2,6,2,8,8,9
Mathematics,BS,37,35,37,45,26,22,24,18,19,27,27,27,33,23,30
Mathematics,BS2,25,28,24,29,15,17,10,11,9,14,11,7,6,11,10
Mathematics,BA,4,4,10,4,7,7,7,10,6,2,11,10,3,7,6
Mathematics,BA2,10,9,12,8,6,11,14,9,11,10,11,8,9,3,5
Mathematics,Minor,42,54,36,43,46,32,33,36,30,37,25,27,28,20,36
Neuroscience,BS,82,78,77,73,77,50,60,72,70,69,83,86,94,65,55
Neuroscience,BS2,1,2,2,6,2,3,4,5,2,1,NA,NA,2,3,3
Neuroscience,BA,9,5,10,16,15,18,11,10,10,2,4,3,1,3,3
Neuroscience,BA2,2,1,NA,NA,1,2,2,NA,1,NA,1,NA,NA,NA,NA
Neuroscience,Minor,18,12,14,21,23,30,21,16,15,17,15,14,15,19,9
Political Science,BA,79,81,74,91,64,91,103,88,76,91,69,87,72,79,87
Political Science,BA2,18,12,25,18,27,14,24,20,26,17,16,10,15,25,18
Political Science,Minor,36,39,32,29,42,48,40,46,31,35,50,45,47,41,39
Statistical Science,BS,49,45,39,54,32,35,27,26,21,24,17,10,13,4,9
Statistical Science,BS2,28,23,20,27,16,17,17,9,8,6,6,5,NA,1,6
Statistical Science,BA,2,NA,1,2,NA,NA,1,4,4,3,6,3,1,4,2
Statistical Science,BA2,1,NA,NA,NA,NA,2,1,NA,NA,1,4,4,NA,NA,1
Statistical Science,Minor,35,32,29,37,24,30,16,23,16,20,11,18,14,7,10
