county,land_area_m2,land_area_mi2,pop_2020,pop_dens_2020,county_type,median_hh_income,p_foreign_born,p_child_poverty,p_single_parent_hh,p_broadband,p_home_ownership,p_family_sustaining_wage,p_edu_lths,p_edu_hsged,p_edu_scnd,p_edu_ndc,p_edu_assoc,p_edu_ba,p_edu_mapl,p_edu_hs_grad_rate,p_edu_chronic_absent_rate
Alamance,1096735775,423.45205013315683,171415,404.8038023339304,Suburban,66395,0.09140148758888245,0.1874853223562241,0.1775251626968384,0.7498137354850769,0.656083345413208,0.5011739134788513,0.09796561300754547,0.2867834568023682,0.1283192038536072,0.0750034749507904,0.1169887408614159,0.2100421637296677,0.08489735424518585,0.8612622618675232,0.3206285536289215
Alexander,673358184,259.9850483483494,36444,140.17729185398895,Rural - Metro,62976,0.02541163563728333,0.1969112008810043,0.1531486213207245,0.6421014666557312,0.8166966438293457,0.4574659466743469,0.1214790791273117,0.3533093631267548,0.1673814803361893,0.07499710470438004,0.120088092982769,0.1073374301195145,0.05540744215250015,0.8296089172363281,0.1895115971565247
Alleghany,608220280,234.83516300775605,10888,46.364436486202,Rural - Non-Metro,46571,0.06058690696954727,0.3329706192016602,0.09962368756532669,0.7288572192192078,0.7706476449966431,0.3632653057575226,0.1998195797204971,0.2746955454349518,0.1308073997497559,0.07487595826387405,0.1041948571801186,0.1538114547729492,0.06179521977901459,0.9439252614974976,0.190476194024086
Anson,1376478143,531.4611822677441,22055,41.49879753379418,Rural - Metro,50503,0.03068072907626629,0.3546764254570007,0.2420014441013336,0.6723598837852478,0.6561222076416016,0.3618802428245544,0.1229050308465958,0.5285636782646179,0.122544601559639,0.07496846467256546,0.06523697823286057,0.06631825864315033,0.01946296542882919,0.8290598392486572,0.463004857301712
Ashe,1104018852,426.26406188405247,26577,62.34867627013129,Rural - Non-Metro,54589,0.02989079803228378,0.1445355862379074,0.1376781463623047,0.7373948097229004,0.783815324306488,0.3614864945411682,0.09033280611038208,0.29001584649086,0.1797851771116257,0.07501320540904999,0.175382986664772,0.1329459398984909,0.05652403458952904,0.8883928656578064,0.1573323458433151
Avery,640602137,247.33786789469085,17806,71.99059388504662,Rural - Non-Metro,55922,0.04097942635416985,0.118116520345211,0.1140417754650116,0.6250953078269958,0.7996645569801331,0.4146556854248047,0.1209248527884483,0.348208099603653,0.1417341083288193,0.07491329312324524,0.080231212079525,0.1921387314796448,0.04184971004724503,0.8882352709770203,0.2078621387481689
Beaufort,2156776424,832.7360329078886,44652,53.62083329584838,Rural - Non-Metro,55960,0.03444178029894829,0.3209291398525238,0.1823273897171021,0.7115636467933655,0.7009893655776978,0.4424807131290436,0.1149449869990349,0.2842645049095154,0.2021151632070541,0.07499198615550995,0.1631235927343369,0.1193248555064201,0.04123491048812866,0.859719455242157,0.2557030916213989
Bertie,1810858588,699.1764097326301,17934,25.65017891101058,Rural - Non-Metro,44371,0.01693170145153999,0.2665245234966278,0.2111332565546036,0.5079726576805115,0.7448747158050537,0.4727587103843689,0.1462616771459579,0.3591121435165405,0.1179906576871872,0.07500000298023224,0.08691588789224625,0.1724299043416977,0.04228971898555756,0.8917197585105896,0.3157599568367004
Bladen,2266321541,875.0316390448604,29606,33.83420516350287,Rural - Non-Metro,49661,0.02760974690318108,0.3531078100204468,0.1776536256074905,0.6254404783248901,0.6984959244728088,0.4286615252494812,0.09049489349126816,0.3468970954418182,0.1693637073040009,0.07494108378887177,0.1368421018123627,0.1412411630153656,0.04021995142102242,0.903030276298523,0.2711078524589539
Brunswick,2201703879,850.0826202634576,136693,160.7996643404333,Rural - Metro,76797,0.03418352454900742,0.1309731900691986,0.1211124211549759,0.8113942742347717,0.8383978009223938,0.4779129922389984,0.08486801385879517,0.2954270839691162,0.1470362097024918,0.07498260587453842,0.1331966519355774,0.1967195123434067,0.06776992976665497,0.8515961766242981,0.3181948363780975
Buncombe,1700318978,656.496827701653,269452,410.43915009205995,Suburban,71218,0.0703999400138855,0.1524444669485092,0.132489874958992,0.7327508926391602,0.6443723440170288,0.5028935074806213,0.0780249685049057,0.2136950492858887,0.1011390313506126,0.07499733567237854,0.08187953382730484,0.3134336173534393,0.1368304491043091,0.9126436710357666,0.2273215502500534
Burke,1311146879,506.2366402137653,87570,172.98234273011605,Rural - Metro,55616,0.05581416562199593,0.307981938123703,0.1903102546930313,0.6656259298324585,0.7477211356163025,0.4114299714565277,0.1436546444892883,0.2927955985069275,0.1424515098333359,0.07497954368591309,0.1437509059906006,0.1408152431249619,0.06155252829194069,0.883367121219635,0.1850246489048004
Cabarrus,935587407,361.2323173946926,225804,625.0935731015456,Suburban,85540,0.09752575308084488,0.1183490008115768,0.1624486744403839,0.7733980417251587,0.7213263511657715,0.6065717935562134,0.0692884773015976,0.2196524441242218,0.1089183017611504,0.07500676810741425,0.1003806889057159,0.2736178040504456,0.1531355082988739,0.8928571343421936,0.1949013471603394
Caldwell,1222184251,471.88797750890063,80652,170.9134452328334,Rural - Metro,56239,0.03329281136393547,0.1846349239349365,0.1938900053501129,0.6451504826545715,0.7401269674301147,0.4545088112354279,0.1280681788921356,0.2913636267185211,0.1782386302947998,0.07500000298023224,0.1050568148493767,0.1595454514026642,0.06272727251052856,0.8532311320304871,0.2583302557468414
Camden,622452109,240.3301029053759,10355,43.08657082411781,Rural - Metro,84656,0.007912129163742065,0.05903049185872078,0.1203140839934349,0.7213779091835022,0.837639331817627,0.5583643317222595,0.04349442198872566,0.2133828997612,0.1531598567962646,0.07509293407201767,0.1773234158754349,0.2531598508358002,0.08438661694526672,0.8774193525314331,0.1735830008983612
Carteret,1314689449,507.6044341377305,67686,133.34398883843176,Rural - Non-Metro,76397,0.03238070383667946,0.125462532043457,0.1099749952554703,0.796461284160614,0.7350471019744873,0.5318512320518494,0.05211091041564941,0.2232827097177505,0.1897032111883163,0.0750313475728035,0.12344990670681,0.2321304231882095,0.1042914837598801,0.8209168910980225,0.2037943750619888
Caswell,1101694783,425.3667338264345,22736,53.45034811602625,Rural - Non-Metro,57865,0.03054343536496162,0.188868373632431,0.1676846891641617,0.5341708064079285,0.7606315612792969,0.4280008971691132,0.1653249561786652,0.3141566812992096,0.1920282691717148,0.07500490546226501,0.1021009236574173,0.1101511865854263,0.041233066469430923,0.8461538553237915,0.3799910247325897
Catawba,1039553245,401.3737518663744,160610,400.15073046797136,Suburban,65898,0.06740470230579376,0.1758644580841064,0.180104598402977,0.731369137763977,0.7271974086761475,0.4949322640895844,0.09517499059438705,0.258217066526413,0.169044092297554,0.07501234114170074,0.1392158418893814,0.2006911486387253,0.06264452636241913,0.8879402279853821,0.2144689410924911
Chatham,1765540358,681.678943306037,76285,111.90752002699335,Rural - Metro,95716,0.1065386459231377,0.1633663326501846,0.1279570907354355,0.7136080265045166,0.8041422367095947,0.5941446423530579,0.1242173835635185,0.1751815676689148,0.04432757198810577,0.07500626146793365,0.119146004319191,0.2496869564056396,0.2124342620372772,0.897243082523346,0.2068556696176529
