artist,artist_genre
a-ha,Pop
AC/DC,Rock
ADÉLA,Pop
Aitana,Latin
Alex Warren,Pop
Alyssa Grace,Pop
ANOTR,Electronic
Anuel AA,Latin
Anuv Jain,Indian pop
Arctic Monkeys,Rock
Ariana Grande,Pop
Bad Bunny,Latin
Banjaare,Indian pop
Benson Boone,Pop
Billie Eilish,Pop
Black Eyed Peas,Pop
Bruno Mars,Pop
BTS,K-pop
Calvin Harris,Electronic
Charlie Puth,Pop
Cigarettes After Sex,Indie
Coldplay,Rock
CORTIS,K-pop
Creedence Clearwater Revival,Rock
Danny Ocean,Latin
Dave,Hip-hop
David Guetta,Electronic
Disco Lines,Electronic
DJ Snake,Electronic
Djo,Indie
Dolly Parton,Country
Dominic Fike,Indie
Don Omar,Latin
Drake,Hip-hop
Dua Lipa,Pop
Ed Sheeran,Pop
El Bogueto,Latin
Ella Langley,Country
Eminem,Hip-hop
Emmanuel Cortes,Latin
Empire Of The Sun,Electronic
eńau,Indie
ENHYPEN,K-pop
Evanescence,Rock
F3miii,Latin
Fat Papi,Latin
Fleetwood Mac,Rock
French Montana,Hip-hop
Fuerza Regida,Regional Mexican
Gigi Perez,Indie
Gorillaz,Alternative
Guns N' Roses,Rock
Harry Styles,Pop
HUGEL,Electronic
HUNTR/X,K-pop
JAŸ-Z,Hip-hop
Jay Wheeler,Latin
Jennifer Lopez,Pop
Journey,Rock
Justin Bieber,Pop
KAROL G,Latin
KATSEYE,Pop
Katy Perry,Pop
Keane,Rock
Kendrick Lamar,Hip-hop
Kings of Leon,Rock
Lady Gaga,Pop
Lana Del Rey,Alternative
LATIN MAFIA,Latin
LE SSERAFIM,K-pop
Linkin Park,Rock
Lord Huron,Indie
LOS DOS DE TAMAULIPAS,Regional Mexican
Mac Miller,Hip-hop
Macklemore & Ryan Lewis,Hip-hop
Malcolm Todd,Pop
Maroon 5,Pop
Michael Jackson,Pop
Miguel,R&B
Natasha Bedingfield,Pop
Nelly Furtado,Pop
Neton Vega,Regional Mexican
Nirvana,Rock
Noah Kahan,Indie
Oasis,Rock
Oldilla,Indie
Olivia Dean,Pop
Olivia Rodrigo,Pop
Omar Courtz,Latin
One Direction,Pop
OneRepublic,Pop
P!nk,Pop
PARTYNEXTDOOR,R&B
PinkPantheress,Pop
Pitbull,Latin
Post Malone,Pop
Prince,Pop
pupsies,Pop
Quevedo,Latin
Radiohead,Alternative
Raim Laode,Indonesian pop
Ravyn Lenae,R&B
RAYE,Pop
Rihanna,Pop
ROSÉ,K-pop
Sabrina Carpenter,Pop
Sam Fender,Rock
Sean Paul,Dancehall
Shakira,Latin
Shawn Mendes,Pop
She & Him,Indie
SIENNA SPIRO,Pop
sombr,Indie
STELLA LEFTY,Pop
Steve Lacy,R&B
Tame Impala,Alternative
Taylor Swift,Pop
Teddy Swims,Pop
Temper City,Indie
The Chainsmokers,Electronic
The Goo Goo Dolls,Rock
The Killers,Rock
The Neighbourhood,Alternative
The Outfield,Rock
The Police,Rock
The Script,Rock
The Weeknd,R&B
TOTO,Rock
Tove Lo,Pop
Tulus,Indonesian pop
"Tyler, The Creator",Hip-hop
Vance Joy,Indie
Ya Ice Dilan,Latin
Zara Larsson,Pop
