name,country,country_code,event,competition,d_score,e_score,penalty,score,rank
Simone Biles,United States,USA,Vault,Qualification,6.4,9.4,0,15.8,1
Simone Biles,United States,USA,Vault,Qualification,5.6,9.2,0,14.8,1
Rebeca Andrade,Brazil,BRA,Vault,Qualification,5.6,9.4,0.1,14.9,2
Rebeca Andrade,Brazil,BRA,Vault,Qualification,5,9.466,0,14.466,2
Jade Carey,United States,USA,Vault,Qualification,5.6,9.166,0.1,14.666,3
Jade Carey,United States,USA,Vault,Qualification,5,9.2,0,14.2,3
Jordan Chiles,United States,USA,Vault,Qualification,5,9.333,0,14.333,4
Jordan Chiles,United States,USA,Vault,Qualification,4.8,9.3,0,14.1,4
Seojeong Yeo,South Korea,KOR,Vault,Qualification,5.4,9,0,14.4,5
Seojeong Yeo,South Korea,KOR,Vault,Qualification,5,8.966,0,13.966,5
Chang Ok An,North Korea,PRK,Vault,Qualification,5,9.066,0,14.066,6
Chang Ok An,North Korea,PRK,Vault,Qualification,5.6,8.7,0,14.3,6
Shallon Olsen,Canada,CAN,Vault,Qualification,5.6,8.833,0,14.433,7
Shallon Olsen,Canada,CAN,Vault,Qualification,5,8.9,0,13.9,7
Elsabeth Black,Canada,CAN,Vault,Qualification,5,9.1,0,14.1,8
Elsabeth Black,Canada,CAN,Vault,Qualification,4.8,9.1,0,13.9,8
Valentina Georgieva,Bulgaria,BUL,Vault,Qualification,5,9.166,0,14.166,9
Valentina Georgieva,Bulgaria,BUL,Vault,Qualification,4.8,9.033,0,13.833,9
Alexa Moreno,Mexico,MEX,Vault,Qualification,5.4,8.766,0,14.166,10
Alexa Moreno,Mexico,MEX,Vault,Qualification,5.2,8.533,0,13.733,10
Ming van Eijken,France,FRA,Vault,Qualification,5.4,8.833,0,14.233,11
Ming van Eijken,France,FRA,Vault,Qualification,4.4,8.933,0,13.333,11
Csenge Maria Bacskay,Hungary,HUN,Vault,Qualification,5,8.9,0,13.9,12
Csenge Maria Bacskay,Hungary,HUN,Vault,Qualification,4.8,8.833,0,13.633,12
Coline Devillard,France,FRA,Vault,Qualification,5.4,8.8,0,14.2,13
Coline Devillard,France,FRA,Vault,Qualification,4.4,8.7,0,13.1,13
Hillary Heron,Panama,PAN,Vault,Qualification,5.4,8.5,0.1,13.8,14
Hillary Heron,Panama,PAN,Vault,Qualification,4.6,8.9,0,13.5,14
Ana Barbosu,Romania,ROU,Vault,Qualification,5.2,8.7,0.1,13.8,15
Ana Barbosu,Romania,ROU,Vault,Qualification,4.6,8.866,0,13.466,15
Lihie Raz,Israel,ISR,Vault,Qualification,5,8.766,0.1,13.666,16
Lihie Raz,Israel,ISR,Vault,Qualification,4.4,8.833,0,13.233,16
Aleah Finnegan,Philippines,PHI,Vault,Qualification,4.6,9.133,0,13.733,17
Aleah Finnegan,Philippines,PHI,Vault,Qualification,4,9.033,0,13.033,17
Ruby Pass,Australia,AUS,Vault,Qualification,5,8.9,0.1,13.8,18
Ruby Pass,Australia,AUS,Vault,Qualification,4.2,8.7,0,12.9,18
Ahtziri Sandoval,Mexico,MEX,Vault,Qualification,5.2,7.6,0.3,12.5,19
Ahtziri Sandoval,Mexico,MEX,Vault,Qualification,5.4,7.5,0.3,12.6,19
Abigail Martin,Great Britain,GBR,Vault,Qualification,5,8.766,0,13.766,NA
Alba Petisco,Spain,ESP,Vault,Qualification,4.6,8.866,0,13.466,NA
Alice D'Amato,Italy,ITA,Vault,Qualification,5,8.5,0.3,13.2,NA
Alice Kinsella,Great Britain,GBR,Vault,Qualification,5,8.933,0,13.933,NA
Amalia Ghigoarta,Romania,ROU,Vault,Qualification,4.2,8.8,0,13,NA
Ana Perez,Spain,ESP,Vault,Qualification,4.2,8.866,0,13.066,NA
Angela Andreoli,Italy,ITA,Vault,Qualification,4.6,9.133,0,13.733,NA
Anna Lashchevska,Ukraine,UKR,Vault,Qualification,4.2,8.633,0,12.833,NA
Aurelie Tran,Canada,CAN,Vault,Qualification,4.2,8.966,0,13.166,NA
Ava Stewart,Canada,CAN,Vault,Qualification,4.6,9,0,13.6,NA
Bettina Lili Czifra,Hungary,HUN,Vault,Qualification,4.2,8.866,0.1,12.966,NA
Breanna Scott,Australia,AUS,Vault,Qualification,4.2,9.1,0,13.3,NA
Charlize Moerz,AUT,AUT,Vault,Qualification,4,8.5,0,12.5,NA
Dayeong Lee,South Korea,KOR,Vault,Qualification,4.2,8.666,0,12.866,NA
Elisa Iorio,Italy,ITA,Vault,Qualification,5,8.766,0,13.766,NA
Emily Whitehead,Australia,AUS,Vault,Qualification,4.6,9,0,13.6,NA
Emma Malabuyo,Philippines,PHI,Vault,Qualification,4.2,9.066,0,13.266,NA
Emma Nedov,Australia,AUS,Vault,Qualification,4.2,9,0,13.2,NA
Filipa Martins,Portugal,POR,Vault,Qualification,5,9.133,0,14.133,NA
