rank,previous_rank_change,artist,song,weeks_on_chart,peak_rank,streams,genre
1,+3,Malcolm Todd,Earrings,22,1,25092481,Pop
2,=,Tame Impala,Loser,4,2,24174648,Alternative
3,-2,Shakira,Dai Dai (w/ Burna Boy),14,1,23895498,Latin
4,-1,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj),25,1,23171674,Pop
5,+1,Temper City,Self Aware,21,5,21695216,Indie
6,-1,Katy Perry,The One That Got Away,23,5,20717987,Pop
7,+1,Dominic Fike,Babydoll,41,1,20211916,Indie
8,+36,KAROL G,"BbY WOW (w/ Judeline, rusowsky)",2,8,19964746,Latin
9,-2,Ariana Grande,hate that i made you love me,13,1,19907177,Pop
10,-1,BTS,SWIM,23,1,19627598,K-pop
11,=,Michael Jackson,Billie Jean,66,1,19551109,Pop
12,=,Olivia Rodrigo,the cure,14,2,19549268,Pop
13,+3,The Goo Goo Dolls,Iris,156,12,19280369,Rock
14,-1,sombr,back to friends,75,1,18238310,Indie
15,=,Olivia Rodrigo,stupid song,11,1,18207539,Pop
16,-2,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),351,1,18134349,Pop
17,+3,Oasis,Wonderwall - Remastered,150,4,17951320,Rock
18,-1,Ella Langley,Choosin' Texas,34,15,17924626,Country
19,=,Ravyn Lenae,Love Me Not,75,8,16790689,R&B
20,+4,Shawn Mendes,Treat You Better,100,5,16717407,Pop
21,-11,KATSEYE,Animal,5,8,16665200,Pop
22,-1,Lady Gaga,Die With A Smile (w/ Bruno Mars),106,1,16592923,Pop
23,+2,Olivia Dean,Man I Need,53,3,16267101,Pop
24,-6,KATSEYE,Hootie Frutti,2,18,16254525,Pop
25,+2,Djo,End of Beginning,132,1,16107545,Indie
26,=,Olivia Rodrigo,drop dead,19,2,14957693,Pop
27,+5,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR)),21,27,14932368,Electronic
28,+1,Alex Warren,Ordinary,81,1,14863223,Pop
29,-6,Steve Lacy,oh yeah?,3,23,14824255,R&B
30,=,The Neighbourhood,Sweater Weather,338,16,14646364,Alternative
31,+9,Bruno Mars,Risk It All,26,3,14482095,Pop
32,+1,Gigi Perez,Sailor Song,106,7,14464064,Indie
33,+10,Tulus,Teh Hijau,8,33,14438693,Pop
34,+2,Mac Miller,Cinderella (w/ Ty Dolla $ign),14,34,14373618,Hip-hop
35,+6,Billie Eilish,BIRDS OF A FEATHER,119,1,14212101,Pop
36,-5,Bad Bunny,DtMF,86,1,14204171,Latin
37,-2,The Killers,Mr. Brightside,255,26,14075159,Rock
38,-4,Taylor Swift,The Fate of Ophelia,47,1,14040243,Pop
39,-17,Ariana Grande,petal,4,2,13932449,Pop
40,+6,Neton Vega,RIKI,2,40,13701642,Regional Mexican
41,-3,eńau,Sesi Potret (w/ Ari Lesmana),14,24,13643079,Indie
42,=,The Police,Every Breath You Take,246,8,13551635,Rock
43,-15,Michael Jackson,Beat It,21,5,13528635,Pop
44,-7,Bad Bunny,EoO,86,4,13354291,Latin
45,=,Vance Joy,Riptide,420,16,13339023,Indie
46,+8,ADÉLA,Ain't In LA,4,46,13074585,Pop
47,+1,Olivia Dean,So Easy (To Fall In Love),48,6,12930445,Pop
48,-9,Radiohead,Creep,143,27,12905030,Alternative
49,+4,Coldplay,Yellow,297,19,12675850,Rock
50,=,Bruno Mars,Locked out of Heaven,249,18,12612017,Pop
51,-4,Harry Styles,Sign of the Times,67,14,12611413,Pop
52,+5,HUGEL,"Movin' To The Sun (w/ Imael Angel, Ultra Naté)",7,52,12538932,Electronic
53,-2,Dave,Raindance (w/ Tems),39,6,12420988,Hip-hop
54,+4,RAYE,WHERE IS MY HUSBAND!,49,6,12337447,Pop
55,-3,Zara Larsson,Lush Life,134,7,12248966,Pop
56,=,Bad Bunny,BAILE INoLVIDABLE,86,2,11948990,Latin
57,+5,Benson Boone,Beautiful Things,136,1,11831007,Pop
58,+1,Drake,"One Dance (w/ Wizkid, Kyla)",330,1,11782174,Hip-hop
59,NEW,ENHYPEN,Bloody Paradise,1,59,11742652,K-pop
60,+25,SIENNA SPIRO,Great Expectation,7,60,11708441,Pop
61,-6,Drake,Janice STFU,15,3,11501283,Hip-hop
62,+1,Aitana,SUPERESTRELLA,6,38,11500574,Latin
63,-14,The Weeknd,Starboy (w/ Daft Punk),322,1,11480396,R&B
64,+1,Arctic Monkeys,I Wanna Be Yours,216,15,11383147,Rock
65,-5,Arctic Monkeys,505,242,43,11334156,Rock
66,NEW,Dolly Parton,Jolene,1,66,11284591,Country
67,+16,Lord Huron,The Night We Met,201,15,11212950,Indie
68,-4,Bad Bunny,NUEVAYoL,86,3,11136810,Latin
69,=,Sam Fender,Rein Me In (w/ Olivia Dean),26,56,11119201,Rock
70,-9,BTS,NORMAL,20,6,11101179,K-pop
71,+3,Coldplay,Viva La Vida,213,31,11073579,Rock
72,-4,Shakira,Hips Don't Lie (w/ Wyclef Jean),68,33,11043972,Latin
73,+5,Fleetwood Mac,Dreams - 2001 Remaster,20,49,10980421,Rock
74,+118,Dua Lipa,Training Season,27,15,10944577,Pop
75,-3,Harry Styles,As It Was,223,1,10910847,Pop
76,=,Pitbull,"Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",94,72,10897859,Latin
77,-2,HUNTR/X,"Golden (w/ EJae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",62,1,10861877,K-pop
78,-12,Jennifer Lopez,On The Floor (w/ Pitbull),15,25,10845117,Pop
79,+33,Raim Laode,Dunia Yang Nanti,5,79,10796823,Pop
80,-9,Linkin Park,In the End,158,22,10792600,Rock
