year,marital_status,age,education_years,children,happiness,health,employment_status,party_id
2024,Never married,33,16,2,Not too happy,Good,Working full time,Not very strong democrat
2024,Never married,64,16,0,Pretty happy,Good,Retired,Strong democrat
2024,Married,69,14,0,Pretty happy,Good,Retired,Strong democrat
2024,Never married,19,12,0,Pretty happy,Good,Working part time,"Independent (neither, no response)"
2024,Divorced,70,13,3,Not too happy,Good,Retired,"Independent (neither, no response)"
2024,Married,53,14,2,Pretty happy,Good,"Unemployed, laid off, looking for work","Independent (neither, no response)"
2024,Married,48,13,6,Pretty happy,Good,Working full time,Strong democrat
2024,Divorced,30,14,1,Not too happy,Good,In school,Other party
2024,Married,60,14,2,Very happy,Good,Working full time,Not very strong democrat
2024,Never married,25,12,0,Pretty happy,Good,"Unemployed, laid off, looking for work","Independent (neither, no response)"
2024,Never married,23,18,0,Pretty happy,Good,Working full time,Strong democrat
2024,Widowed,68,5,1,Very happy,Excellent,Retired,"Independent, close to democrat"
2024,Divorced,43,14,2,Pretty happy,Fair,Working full time,Other party
2024,Divorced,37,12,1,Not too happy,Good,Working full time,"Independent (neither, no response)"
2024,Divorced,63,12,3,Very happy,Fair,Working full time,"Independent (neither, no response)"
2024,Married,31,19,1,Very happy,Excellent,Working full time,Strong democrat
2024,Married,64,16,2,Pretty happy,Good,Working full time,"Independent, close to republican"
2024,Married,NA,13,NA,Very happy,Good,Retired,"Independent (neither, no response)"
2024,Married,63,11,1,Very happy,Good,Working part time,Strong republican
2024,Divorced,41,8,2,Pretty happy,Good,Working part time,Not very strong democrat
2024,Divorced,75,13,2,Pretty happy,Good,Retired,"Independent (neither, no response)"
2024,Married,51,16,2,Pretty happy,Excellent,Working full time,Strong democrat
2024,Divorced,69,14,0,Pretty happy,Good,Working full time,Not very strong republican
2024,Married,48,12,1,Not too happy,Good,"With a job, but not at work because of temporary illness, vacation, strike",Strong republican
2024,Married,58,14,2,Pretty happy,Good,Working full time,Not very strong democrat
2024,Married,71,18,3,Very happy,Good,Working part time,Not very strong republican
2024,Married,73,16,2,Pretty happy,Good,Retired,Strong democrat
2024,Married,74,14,3,Pretty happy,Good,Retired,Strong democrat
2024,Married,56,14,2,Very happy,Good,"With a job, but not at work because of temporary illness, vacation, strike",Strong republican
2024,Married,40,14,3,Not too happy,Good,Working full time,Not very strong democrat
2024,Married,55,13,1,Not too happy,Good,"Unemployed, laid off, looking for work",Not very strong republican
2024,Married,55,18,2,Pretty happy,Good,"With a job, but not at work because of temporary illness, vacation, strike","Independent (neither, no response)"
2024,Never married,31,12,0,Pretty happy,Excellent,Working full time,Not very strong democrat
2024,Never married,61,18,0,Not too happy,Fair,Working full time,Other party
2024,Never married,71,12,0,Pretty happy,Good,Working part time,"Independent, close to republican"
2024,Married,70,16,NA,Very happy,Good,Retired,Other party
2024,Married,60,16,1,Very happy,Excellent,Keeping house,Other party
2024,Never married,57,11,5,Not too happy,Good,"Unemployed, laid off, looking for work",Not very strong democrat
2024,Married,37,16,3,Pretty happy,Good,Working part time,Strong republican
2024,Never married,26,12,0,Not too happy,Good,Working full time,"Independent (neither, no response)"
2024,Divorced,59,12,4,Pretty happy,Fair,Working full time,"Independent, close to republican"
2024,Married,65,12,3,Pretty happy,Good,Working part time,Not very strong democrat
2024,Married,71,17,2,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Married,41,18,1,Pretty happy,Good,Keeping house,"Independent, close to democrat"
2024,Married,58,17,3,Pretty happy,Poor,Working full time,Not very strong republican
2024,Married,79,17,2,Pretty happy,Good,Retired,"Independent, close to democrat"
2024,Widowed,83,16,0,Very happy,Excellent,Retired,Strong republican
2024,Married,57,16,2,Very happy,Good,Working full time,Not very strong democrat
2024,Married,NA,16,2,Pretty happy,Excellent,Retired,"Independent, close to democrat"
2024,Married,65,11,2,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Married,74,16,2,Pretty happy,Good,Retired,Strong democrat
2024,Married,61,18,0,Pretty happy,Good,Working full time,Strong republican
2024,Never married,24,16,0,Very happy,Good,Working full time,Not very strong democrat
2024,Never married,61,6,0,Not too happy,Good,"Unemployed, laid off, looking for work",Strong democrat
2024,Never married,56,16,0,Pretty happy,Poor,"With a job, but not at work because of temporary illness, vacation, strike","Independent, close to democrat"
2024,Never married,72,16,0,Pretty happy,Fair,Retired,Not very strong democrat
2024,Married,NA,12,2,Very happy,Good,Keeping house,"Independent (neither, no response)"
2024,Divorced,49,18,0,Pretty happy,Good,Working full time,Strong democrat
2024,Married,78,13,2,Not too happy,Fair,Retired,"Independent (neither, no response)"
2024,Never married,63,13,1,Not too happy,Fair,"With a job, but not at work because of temporary illness, vacation, strike","Independent (neither, no response)"
2024,Never married,57,18,0,Pretty happy,Good,Working full time,Strong democrat
2024,Never married,26,16,0,Pretty happy,Good,Working full time,"Independent, close to democrat"
2024,Married,89,12,2,Not too happy,Poor,Retired,Not very strong republican
2024,Divorced,79,15,1,Very happy,Excellent,Working full time,Strong republican
2024,Never married,22,16,0,Very happy,Excellent,Working full time,Strong democrat
